Compound,Brown,Green,Yellow,Orange
Castoreum,40,10,19,15
Stemone,16,5,0,10
Galbanum,16,2,8,5
Verdoracine,16,0,8,0
Cedar,20,5,0,0
Guaiacol,12,3,0,0
Dirt,12,2,3,0
AAG,12,3,0,0
Oak moss,0,3,3,0
Cepes,0,1,3,2
Indolene,0,1,8,0
Cashmeran,0,3,6,0
Leaf Overt,0,5,5,0
Hexenol cis,0,10,0,5
Aldehyde c-10,0,5,0,3
Civette,0,3,3,0
Muscone,0,5,0,0
Iso-e super,0,5,0,0
Norlimbarol,0,3,3,0
Rose acecard,0,2,0,1
Cade,0,6,0,0
Rosemary,0,3,0,1
Cosmone,0,3,5,5
Cetalox,0,0,32,0
Calone,0,0,8,0
Scentenol,0,0,10,0
Pepper,0,0,5,0
Timber propylene,0,0,3,0
Phenethyl,0,0,0,5
Cyclal,0,0,0,2
